model,model_display,tier,K,rho,N,epsilon,test_mse_mean,test_mse_std,test_mse_count,test_mae_mean,test_mae_std,test_mae_count,ar_vpt_mean,ar_vpt_std,ar_vpt_count,ar_vpt_std_mean,ar_vpt_std_std,ar_vpt_std_count,best_val_mse_mean,best_val_mse_std,best_val_mse_count,train_time_s_mean,train_time_s_std,train_time_s_count
agcrn,AGCRN,5-LearnedDiff,0.5,0.05,8,0.025,0.32921816905339557,0.006151418533164579,3,0.3302370409170787,0.005156821111246564,3,12.866666666666667,0.5575242894559241,3,2.1104562226279637,1.1097124846357094,3,0.33705317982904015,0.004076351066715272,3,22078.11746573448,11.046909333967976,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.05,16,0.025,0.38244221607844037,0.0008301039908902426,3,0.37518996000289917,0.0010699137575773312,3,12.65,0.40000000000000036,3,1.0212306659242676,0.25861533300215483,3,0.3974400818058412,0.0002691165267173836,3,20415.19694519043,7.60583072135963,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.05,32,0.025,0.4561033348242442,0.0063683882926674484,3,0.4322401185830434,0.005119764855643216,3,11.983333333333334,0.02886751345948183,3,1.2100087750300539,0.16603658188906076,3,0.45880090021596215,0.005926710671565178,3,19572.058915217716,4576.755971377577,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.075,8,0.0375,0.40632986028989154,0.01101372329397595,3,0.3826263944307963,0.009324739257620637,3,11.983333333333334,0.20207259421636833,3,2.9241826615817526,0.7123788616719272,3,0.37051762761178964,0.013162278179804834,3,20453.964573224384,13.726534715325784,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.075,16,0.0375,0.4316398501396179,0.005398894957902042,3,0.4086998502413432,0.0037531933284067525,3,11.516666666666666,0.3883726732577012,3,1.484283909543449,0.13820967334315454,3,0.44741390487864324,0.0035707792322982354,3,18927.138411839802,12.062937649283207,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.075,32,0.0375,0.48680827021598816,0.00547427207227562,3,0.451866348584493,0.004236478546766999,3,12.299999999999999,0.21794494717703475,3,0.5771847320253166,0.26035874802912806,3,0.48152413448343917,0.005051150746558939,3,14279.803996721903,13.031614954637815,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.1,8,0.05,0.4338532288869222,0.005345725192207196,3,0.4061438838640849,0.003931279970480787,3,11.9,0.3500000000000008,3,2.071395141719424,0.47590256386339563,3,0.45960385059166314,0.004895072879141634,3,20449.5890955925,263.7217662564609,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.1,16,0.05,0.4696207642555237,0.0008613233967007197,3,0.4365558723608653,0.0013913077835213214,3,11.700000000000001,0.2999999999999994,3,1.8650529152737303,0.45537504855167465,3,0.47144778372065277,0.0008668465017075825,3,19088.28016082446,5.656043047271921,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.1,32,0.05,0.5299196044603983,0.0020478685224890486,3,0.48201289772987366,0.001269323995773777,3,12.200000000000001,0.13228756555322932,3,0.9716354707394794,0.07991725721836009,3,0.5202084935262833,0.002372079197379502,3,14276.97304813067,11.534536983271355,3
agcrn,AGCRN,5-LearnedDiff,0.5,0.15,8,0.075,0.4906482795874278,0.0036640768826906867,3,0.4522716701030731,0.0027645371675795493,3,8.85,0.35000000000000026,3,3.2507372018768677,0.34323674992725894,3,0.4881251984023298,0.0037541455169385132,3,20864.287707010906,19.825977632792835,3
